county_fips,county,grid_independence,prepper_density,covid_compliance,score_I,infrastructure_category
37067,Forsyth,0.3322040816040593,0.10365648132923329,0.755608761481926,0.279614583007718,Low
37069,Franklin,0.30291563772734004,0.09140591997898281,0.7346767055506751,0.25554388409606876,Low
37071,Gaston,0.38705956194003643,0.06810879483875859,0.7239541820874372,0.2887017991756221,Low
37073,Gates,0.7178746983731843,0.0705962958662631,0.5170269839586688,0.650764403267536,Medium
37075,Graham,0.4764261773313612,0.20064924414949017,0.49530564915210484,0.6749821473555566,High
37077,Granville,0.5141006434366096,0.07265784666592937,0.8302624200201424,0.3168341617736794,Low
37079,Greene,0.7926260024655865,0.21795777189131413,0.7034478160040333,0.7884087968925227,High
37081,Guilford,0.3427945733776957,0.07517225952593397,0.6388609974151566,0.3207163700377149,Low
37083,Halifax,0.5186395848927084,0.15110157582120676,0.6082671428951472,0.5659316231522723,Medium
37085,Harnett,0.3187449360636669,0.07694435177635003,0.8606111688797261,0.1681846980255604,Low
37087,Haywood,0.3948525546741782,0.09208130963105066,0.8318602385752668,0.25968912805815336,Low
37089,Henderson,0.546055073684405,0.08031974021769796,0.8323975521369051,0.3481858689502093,Medium
37091,Hertford,0.7869272614942062,0.23888194511545469,0.44937864707219977,0.9715539667720312,High
37093,Hoke,0.5922373078957327,0.11479801222135994,0.4304237552326223,0.6781449206588315,High
37095,Hyde,0.6716342712188362,0.19718092263920048,0.6968448334134092,0.6800622708009011,High
37097,Iredell,0.24297191138194799,0.10764440758752937,0.7750239472649887,0.2110365660346712,Low
37099,Jackson,0.44638114729847833,0.11106240035403038,0.7686664448651379,0.3608779654669655,Medium
37101,Johnston,0.3175530500024423,0.10251073314226597,0.6770707242682817,0.3168449443448476,Low
37103,Jones,0.4619798387871852,0.21613090131304996,0.5208172507084464,0.6702688515827564,High
37105,Lee,0.47084208312046916,0.05627578946659454,0.8513738069911526,0.2511879344081859,Low
37107,Lenoir,0.2768286837783356,0.11745472651988699,0.8229155711758108,0.21812328692407595,Low
37109,Lincoln,0.2399832740721389,0.07657766199665604,0.8948785592846071,0.09164471304253095,Low
37111,McDowell,0.36487290844283504,0.038210713882158326,0.7196724285026211,0.2349883916243532,Low
37113,Macon,0.37936017955867257,0.09416869442286654,0.7945960486063166,0.2750319470319788,Low
37115,Madison,0.5908925152589433,0.0936046214988173,0.6257689587192653,0.5263575867107186,Medium
37117,Martin,0.34759637709364866,0.03322762111253304,0.865200305432735,0.12542511415379703,Low
37119,Mecklenburg,0.4419276501633791,0.08831838564454814,0.8379043565690859,0.28343858297610286,Low
37121,Mitchell,0.6353815875292784,0.21301088568049142,0.574331763728852,0.7529874034350543,High
37123,Montgomery,0.22351138997049855,0.06052480880276887,0.7241127128929618,0.16468378144917697,Low
37125,Moore,0.4520709035713036,0.030657873012867435,0.5990064885311572,0.3604004072119522,Medium
37127,Nash,0.2922893309221158,0.04664983933708822,0.8062646024606719,0.14218144759910709,Low
37129,New Hanover,0.28775573119655923,0.08330980633574475,0.7229958475483951,0.24120654229601834,Low
37131,Northampton,0.6506530323627903,0.21762139263565916,0.5415335255421585,0.7903581901312932,High
37133,Onslow,0.4698189819724947,0.062203605955068735,0.6738549817964373,0.3692911217332828,Medium
37135,Orange,0.5355195120596272,0.03843709206789632,0.5816179362021628,0.4398300509919929,Medium
37137,Pamlico,0.7198450739374175,0.06364994107081832,0.6929776467460603,0.5329003756407,Medium
37139,Pasquotank,0.35301768872503525,0.1115513677291914,0.802536501392667,0.27562310110553057,Low
37141,Pender,0.4136416334527852,0.11493067970577656,0.6888272805682191,0.39323686844891725,Medium
37143,Perquimans,0.7839304277888716,0.07700025548424139,0.5693142296763445,0.6727912734710756,High
37145,Person,0.29446892783726825,0.07398427789081934,0.6067048572620547,0.3055939686961797,Low
37147,Pitt,0.49453538110851525,0.10464078493145572,0.8843327094532176,0.3133797021897452,Low
37149,Polk,0.25413524930913267,0.08233325509049907,0.7159830580451294,0.22090366993321142,Low
37151,Randolph,0.3205343062154817,0.055154016113421876,0.6944777427123633,0.24314632299899328,Low
37153,Richmond,0.6967239423911336,0.16965721165363093,0.5608885294663959,0.7445220140621797,High
37155,Robeson,0.22657669362936775,0.02777653440789571,0.5508187867190224,0.22997523243184706,Low
37157,Rockingham,0.5386947858724803,0.020525381855838493,0.5860828111048108,0.4146976404737345,Medium
37159,Rowan,0.31010879488329385,0.10074302518167612,0.8867345750174412,0.17852350304613174,Low
37161,Rutherford,0.47650474557714967,0.08905602324456405,0.7324552335947493,0.3742010235024339,Medium
37163,Sampson,0.23034682415176427,0.11581707930039303,0.8154373448809885,0.188276982913043,Low
37165,Scotland,0.6736322848669917,0.20180716910776997,0.6534361652455986,0.7148570584090819,High
37167,Stanly,0.42303105292632043,0.11805768001799881,0.8661773344226088,0.29345810861640165,Low
37169,Stokes,0.6763327216910072,0.18863504229138495,0.4180585323305485,0.8454401328126748,High
37171,Surry,0.43447111259251375,0.02441654377101002,0.755892314939476,0.24180602872893103,Low
37173,Swain,0.7997737248480422,0.16116131628743594,0.5656235413284667,0.8014536235170675,High
37175,Transylvania,0.5594991997769556,0.07410451575729289,0.6558582850103986,0.4590753065634176,Medium
37177,Tyrrell,0.5174096597249707,0.07305640424945688,0.5476169309056794,0.4959144800874178,Medium
37179,Union,0.47836964328568415,0.09450645481202204,0.5692089151262663,0.4847551826350889,Medium
37181,Vance,0.35930028976265466,0.0722434576071169,0.7755913277190378,0.24290373594553483,Low
37183,Wake,0.42755857265512986,0.05646972494573058,0.74623701790123,0.28696509560225136,Low
37185,Warren,0.6183716593454303,0.22699967130465623,0.5855927964222151,0.7533339083902761,High
37187,Washington,0.6043612566118566,0.13089708993637014,0.600349715801713,0.6026748810512383,Medium
37189,Watauga,0.7313919427903142,0.15768029807615752,0.6315793112781896,0.7080910770413752,High
37191,Wayne,0.4582495184172838,0.07201681098787319,0.6993859698292025,0.3587926241544846,Medium
37193,Wilkes,0.5068328822518574,0.06175060840278921,0.7116799977014557,0.3707776497710128,Medium
37195,Wilson,0.546619459669622,0.020023752357588458,0.6149155183518529,0.4015327985171524,Medium
37197,Yadkin,0.334387361471904,0.11325899094252528,0.5745103970116149,0.4072124376196503,Medium
37199,Yancey,0.45331990176997433,0.06053676719544572,0.4309901937147664,0.5069865923247825,Medium
