FDID, Fire dept name, HQ addr1, HQ addr2, HQ city, HQ state, HQ zip, Mail addr1, Mail addr2, Mail PO box, Mail city, Mail state, Mail zip, HQ phone, HQ fax, County, Dept Type, Organization Type, Website, Number Of Stations, Active Firefighters - Career, Active Firefighters - Volunteer, Active Firefighters - Paid per Call, Non-Firefighting - Civilian, Non-Firefighting - Volunteer, Primary agency for emergency mgmt
"02001","Andrews Fire Department","85 Locust ST","","Andrews","NC","28901-1226","85 Locust ST","","PO Box 1226","Andrews","NC","28901-1226","828-321-4200","828-321-4200","Cherokee","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","25","0","0","0",""
"04302","Angier & Black River Fire Department","309 N Broad ST E","","Angier","NC","27501","","","PO Box 389","Angier","NC","27501","919-639-6234","919-639-5915","Harnett","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","13","36","0","0","0","No"
"05101","Antioch Fire Department, Inc.","10668 NC Highway 42 E","","Middlesex","NC","27557","10668 NC Highway 42 E","","","Middlesex","NC","27557-8879","919-965-3409","919-965-3405","Johnston","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","38","38","0","0","0",""
"09601","Antioch Rural Fire Department","4682 NC Highway 111 N","","Pikeville","NC","27863","4682 NC Highway 111 N","","","Pikeville","NC","27863-9786","919-580-0180","919-580-0179","Wayne","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.antiochvfd.com/","1","0","20","0","0","0","Yes"
"09205","Apex Fire Department","315 W Williams ST","","Apex","NC","27502","315 W Williams ST","","","Apex","NC","27502-1834","919-362-4001","919-362-4064","Wake","Mostly career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.apexnc.org/262/Fire-Department","6","112","0","0","5","0","No"
"08402","Aquadale Rural Volunteer Fire Department, Inc.","11578 NC 138 HWY","","Norwood","NC","28128-7516","11578 NC 138 HWY","","","Norwood","NC","28128-7516","704-474-9442","704-474-4519","Stanly","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","3","0","47","3","0","2","Yes"
"06901","Arapahoe Volunteer Fire-Rescue, Inc.","8233 NC HWY 306 S","","Arapahoe","NC","28510-9725","8233 NC HWY 306 S","","","Arapahoe","NC","28510-9725","252-249-1901","252-249-2830","Pamlico","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","21","0","0","11",""
"04001","Arba Rural Fire Association, Inc.","2001 Jesse Hill RD","","Snow Hill","NC","28580-8845","2001 Jesse Hill RD","","","Snow Hill","NC","28580-8845","252-747-2930","252-747-2951","Greene","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","26","0","0","3",""
"02901","Arcadia-Reed Creek-Hampton Fire and Rescue Inc.","1374 Ruff Leonard RD","","Lexington","NC","27295","1374 Ruff Leonard RD","","","Lexington","NC","27295-6190","336-764-1291","336-764-1605","Davidson","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.a-rc-hfd.com/","1","7","0","26","1","0","No"
"05102","Archer Lodge Fire Department","6483 Covered Bridge RD","","Clayton","NC","27527-6351","6483 Covered Bridge RD","","","Clayton","NC","27527-6351","919-550-4136","919-550-4135","Johnston","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.archerlodgefd.org","1","0","0","38","0","0",""
"09916","Arlington Fire & Rescue","321 S Main ST","PO Box 68","Jonesville","NC","28642","321 S Main ST","PO Box 68","PO Box ","Jonesville","NC","28642","336-835-6184","336-835-5195","Yadkin","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","27","0","0","6",""
"09602","Arrington Volunteer Fire Department","570 Emmaus Church RD","","Dudley","NC","28333","570 Emmaus Church RD","","","Dudley","NC","28333-6210","919-736-4310","919-736-4303","Wayne","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","31","0","0","0","No"
"07601","Asheboro Fire and Rescue Department","401 S Church ST","","Asheboro","NC","27203","401 S Church ST","","","Asheboro","NC","27203-5615","336-625-4244","336-625-1908","Randolph","Career","Local (includes career, combination, and volunteer fire departments and fire districts)","","2","64","0","0","1","0","Yes"
"01101","Asheville Fire Department","100 Court PLZ","","Asheville","NC","28801","","","PO Box 7148","Asheville","NC","28802-7148","828-259-5636","828-259-5429","Buncombe","Career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.ashevillenc.gov/department/fire/","12","273","0","0","3","0","Yes"
"05601","Ashford North Cove Volunteer Fire Department","15640 US Highway 221 N","","Marion","NC","28752","15640 US Highway 221 N","","","Marion","NC","28752-6299","828-559-5021","828-559-0904","McDowell","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","5","27","0","0","6","No"
"00801","Askewville Volunteer Fire Department","105 Askewville S Railroad ST","","Windsor","NC","27983-7208","105 Askewville S Railroad ST","","","Windsor","NC","27983-7208","252-794-2553","","Bertie","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","32","0","0","22",""
"07101","Atkinson Fire Department","110 N First AVE","PO Box 159","Atkinson","NC","28421","110 N First AVE","","PO Box 159","Atkinson","NC","28421","910-283-7911","910-283-3552","Pender","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","28","0","0","0",""
"01634","Atlantic Beach Fire Department","125 W Fort Macon RD","","Atlantic Beach","NC","28512","","","PO Box 10","Atlantic Beach","NC","28512-0010","252-726-7361","252-726-1804","Carteret","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.atlanticbeach-nc.com/firedept.asp","1","14","20","15","0","0","Yes"
"08040","Atwell Township Volunteer Fire Department Station 40","135 Concordia Church RD","","China Grove","NC","28023","","","PO Box 862","China Grove","NC","28023-0862","704-855-3240","704-857-4092","Rowan","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.atwellfire.com/","2","1","45","0","0","0","No"
"00802","Aulander Municipal Volunteer Fire Department","124 E Main ST","","Aulander","NC","27805","","","PO Box 100","Aulander","NC","27805-0100","252-345-3541","","Bertie","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","18","0","0","0","No"
"00701","Aurora Volunteer Fire Department","HWY 33 E","PO Box 667","Aurora","NC","27806-0667","HWY 33 E","","PO Box 667","Aurora","NC","27806-0667","252-322-4213","","Beaufort","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","2","0","30","0","0","0",""
"09701","Austin Volunteer Fire Department","7170 Austin Traphill RD","","Elkin","NC","28621","7170 Austin Traphill RD","","","Elkin","NC","28621-9223","336-957-2182","336-957-2772","Wilkes","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","30","0","0","0",""
"02801","Avon Volunteer Fire Department","40159 Harbor RD","PO Box 190","Avon","NC","27915-0190","40159 Harbor RD","","PO Box 190","Avon","NC","27915-0190","252-995-5021","252-995-4420","Dare","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","19","0","0","0",""
"07444","Ayden Fire Department","West AVE","PO Box 428","Ayden","NC","28513-0428","West AVE","","PO Box 428","Ayden","NC","28513-0428","252-746-7021","252-746-7022","Pitt","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","0","40","0","0",""
"06701","Back Swamp Volunteer Fire Department","2957 Catherine Lake RD","","Richlands","NC","28574","2957 Catherine Lake RD","","","Richlands","NC","28574-5153","910-324-5458","910-324-7278","Onslow","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","31","0","0","2","No"
"06207","Badin Lake Volunteer Fire Department, Inc.","2422 Blaine RD","","New London","NC","28127","2422 Blaine RD","","","New London","NC","28127-7677","336-461-3111","336-461-3112","Montgomery","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","3","0","32","0","0","29",""
"08403","Badin Volunteer Fire Department","128 NC 740 HWY","","Badin","NC","28009","","","PO Box 1450","Badin","NC","28009-1450","704-422-3614","704-422-6875","Stanly","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","28","0","0","0","Yes"
"03201","Bahama Volunteer Fire Rescue EMS Company, Inc.","1814 Bahama RD","","Bahama","NC","27503","","","PO Box 48","Bahama","NC","27503-0048","919-477-1561","","Durham","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","bahamavfd.com","3","4","45","0","0","26","No"
"06401","Bailey - Green Hornet Fire Department","6336 Main ST","","Bailey","NC","27807","6336 Main ST","","PO Box 816","Bailey","NC","27807","252-235-4643","252-235-2676","Nash","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","38","0","0","0",""
"09002","Bakers Volunteer Fire & Rescue Department, Inc.","4425 Old Charlotte HWY","","Monroe","NC","28110","4425 Old Charlotte HWY","","","Monroe","NC","28110-7335","704-289-2741","704-226-1761","Union","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","42","0","5","0",""
"06101","Bakersville Volunteer Fire and Rescue","306 Baker LN","","Bakersville","NC","28705","","","PO Box 53","Bakersville","NC","28705-0053","828-688-9027","828-688-9027","Mitchell","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","http://www.bakersvillenc.com/fire-services.html","2","1","30","0","0","0","Yes"
"01019","Bald Head Island Fire-Rescue","251 Edward Teach","","Bald Head Island","NC","28461","","","PO Box 3009","Southport","NC","28461-7000","910-457-4310","910-457-4960","Brunswick","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.villagebhi.org","1","13","34","0","0","0",""
"05006","Balsam - Willets - Ochre Hill Volunteer Fire Department","36 Mount Pleasant Church DR","","Sylva","NC","28779","","","PO Box 291","Balsam","NC","28707-0291","828-586-3756","828-631-4650","Jackson","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","2","0","31","0","0","2","Yes"
"08814","Balsam Grove Volunteer Fire Department","550-1 Parkway Road","","Balsam Grove","NC","28708-0108","","","PO Box 125","Balsam Grove","NC","28708-0108","828-885-7272","","Transylvania","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","22","0","0","0",""
"01801","Bandys Crossroads Volunteer Fire Department","1611 Buffalo Shoals RD","","Catawba","NC","28609","1611 Buffalo Shoals RD","","","Catawba","NC","28609-8026","828-241-2111","828-241-2113","Catawba","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","3","0","53","0","0","0","No"
"00601","Banner Elk Volunteer Fire Department","345 Showneenaw AVE","","Banner Elk","NC","28604","","","PO Box 175","Banner Elk","NC","28604-0175","828-898-4323","828-898-2196","Avery","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","2","0","32","0","0","0",""
"08675","Bannertown Volunteer Fire Department","124 Reeves Mill RD","","Mount Airy","NC","27030","","","PO Box 1114","Mount Airy","NC","27030-1114","336-786-4719","","Surry","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","www.bannertownvfd.com","2","2","42","0","0","0","No"
"01102","Barnardsville Volunteer Fire Department Inc.","100 Dillingham RD","","Barnardsville","NC","28709","","","PO Box 126","Barnardsville","NC","28709-0126","828-626-2222","828-626-4444","Buncombe","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.barnardsvillefire.com/","1","8","23","0","0","2","Yes"
"04501","Bat Cave Volunteer Fire & Rescue Department","267 Gerton HWY","","Bat Cave","NC","28710","","","PO Box 11","Bat Cave","NC","28710-0011","828-625-9313","828-625-9313","Henderson","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","34","0","0","0",""
"00702","Bath Volunteer Fire Department","430 Carteret ST","PO Box 272","Bath","NC","27808","","","PO Box 272","Bath","NC","27808-0272","252-923-3121","","Beaufort","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","25","0","0","0",""
"00915","Bay Tree Lakes Volunteer Fire Department","12717 NC Highway 41 E","","Harrells","NC","28444","12717 NC Highway 41 E","","","Harrells","NC","28444-9669","910-588-4559","910-588-4559","Bladen","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","24","0","0","0","Yes"
"06702","Bear Creek Volunteer Fire Department","677 Bear Creek RD","","Hubert","NC","28539-4501","677 Bear Creek RD","","","Hubert","NC","28539-4501","910-326-5999","","Onslow","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","32","0","0","0",""
"05901","Bear Grass Fire Rescue","6005 Bear Grass RD","","Williamston","NC","27892-8431","6005 Bear Grass RD","","","Williamston","NC","27892-8431","252-792-4540","252-792-0376","Martin","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","49","0","0","0",""
"09101","Bearpond Fire Department","325 Bear Pond RD","","Henderson","NC","27537","325 Bear Pond RD","","","Henderson","NC","27537-9615","252-438-3924","252-738-0646","Vance","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","23","0","0","0",""
"01654","Beaufort Fire Department","506 Live Oak ST","","Beaufort","NC","28516","506 Live Oak ST","","","Beaufort","NC","28516-1934","252-728-4325","252-728-2382","Carteret","Mostly career","Local (includes career, combination, and volunteer fire departments and fire districts)","http://www.beaufortnc.org/for-the-people/departments/fire-department","2","22","5","0","30","1","No"
"02629","Beaver Dam Volunteer Fire Department","11042 NC Highway 210 S","","Roseboro","NC","28382","11042 NC Highway 210 S","","","Roseboro","NC","28382-8868","910-531-4171","910-531-4743","Cumberland","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","2","1","0","28","0","4","No"
"09003","Beaver Lane Volunteer Rescue and Fire Department, Inc.","310 Olive Branch ST","","Marshville","NC","28103","310 Olive Branch ST","","","Marshville","NC","28103-1248","704-624-5550","704-624-2610","Union","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","38","0","0","8",""
"09509","Beaverdam Fire Department","1928 Bethel RD","","Sugar Grove","NC","28679","1928 Bethel RD","","","Sugar Grove","NC","28679","828-297-4393","828-297-4392","Watauga","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","26","0","0","0",""
"09501","Beech Mountain Volunteer Fire Department","1007 Beech Mountain PKWY","","Beech Mountain","NC","28604","","","PO Box 436","Beech Mountain","NC","28604-0436","828-387-4612","828-387-4613","Watauga","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.beechmountainvfd.org","2","2","35","0","0","2","Yes"
"03401","Beeson Crossroads Volunteer Fire & Rescue, Inc.","1105 Old Salem RD","","Kernersville","NC","27284","1105 Old Salem RD","","","Kernersville","NC","27284-9499","336-996-4681","336-996-4543","Forsyth","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","45","0","0","4","No"
"03402","Belews Creek Volunteer Fire & Rescue Department, Inc.","7675 Belews Creek RD","","Belews Creek","NC","27009","","","PO Box 129","Belews Creek","NC","27009-0129","336-595-1100","336-595-1800","Forsyth","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","29","0","0","10","Yes"
"06703","Belgrade Volunteer Fire Department, Inc.","7561 New Bern HWY","PO Box 1283","Maysville","NC","28555","","","PO Box 1283","Maysville","NC","28555-1283","910-743-3088","910-743-2442","Onslow","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","21","0","0","2","No"
"00703","Belhaven Fire / Rescue Department","245 Haslin ST","","Belhaven","NC","27810","","","PO Box 220","Belhaven","NC","27810-0220","252-943-3055","252-943-3361","Beaufort","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","30","0","0","0","No"
"07452","Bell Arthur Fire Department","2634 Firehouse  RD","PO Box 486","Bell Arthur","NC","27811","2634 Firehouse  RD","PO Box 486","","Bell Arthur","NC","27811","252-752-8100","252-752-8100","Pitt","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","37","0","4","5",""
"02009","Bellview Volunteer Fire Department Inc.","1290 Lance RD","","Murphy","NC","28906","31 Peachtree ST","","","Murphy","NC","28906-2940","828-837-0214","828-837-0440","Cherokee","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","21","0","0","0","No"
"07413","Belvoir Volunteer Fire Department","4189 NC 33 W","","Falkland","NC","27827","","","PO Box 57","Falkland","NC","27827-0057","252-757-2888","252-757-2888","Pitt","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","34","0","0","0","No"
"04316","Benhaven Emergency Services","4023 NC Highway 87 N","","Sanford","NC","27332","","","PO Box 301","Olivia","NC","28368-0301","919-499-9511","919-498-0188","Harnett","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.benhavenfirerescue.com/","2","15","0","23","15","10","No"
"01901","Bennett Volunteer Fire Department","55 E Raleigh ST","","Bennett","NC","27208","","","PO Box 115","Bennett","NC","27208-0115","336-581-3333","336-581-4233","Chatham","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","2","1","38","0","0","0",""
"05103","Benson Fire Department","208 N Elm ST","","Benson","NC","27504","208 N Elm ST","","PO Box ","Benson","NC","27504","919-894-8990","919-894-6142","Johnston","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","1","0","34","1","0",""
"05105","Bentonville Volunteer Fire Department Inc","3167 Harper House RD","","Four Oaks","NC","27524-8871","3167 Harper House RD","","","Four Oaks","NC","27524-8871","919-689-3998","","Johnston","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","28","0","0","0","Yes"
"07901","Bethany Fire Department","6052 NC 65","","Reidsville","NC","27320","6052 NC 65","","","Reidsville","NC","27320-9346","336-951-2155","336-951-3441","Rockingham","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.bethanyfire.org","2","0","53","0","0","0","No"
"02601","Bethany Rural Fire Department","2140 Wade Stedman RD","","Stedman","NC","28391-8896","2140 Wade Stedman RD","","","Stedman","NC","28391","910-483-1581","910-483-4397","Cumberland","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","1","22","0","0","14",""
"05104","Bethany Rural Volunteer Fire Department of Johnston County","8525 Old Beulah RD","","Kenly","NC","27542","8525 Old Beulah RD","","","Kenly","NC","27542-8644","919-284-4176","919-284-4848","Johnston","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","25","0","0","15",""
"07201","Bethel Community Fire Protection Association, Inc.","462 Snug Harbor RD","","Hertford","NC","27944","462 Snug Harbor RD","","","Hertford","NC","27944-1456","252-426-5110","252-426-5110","Perquimans","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","29","0","0","0","No"
"03202","Bethesda Fire Department","1724 S Miami BLVD","","Durham","NC","27703","1724 S Miami BLVD","","","Durham","NC","27703-5630","919-596-7862","919-598-1557","Durham","Mostly career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://bethesdavfd.org/","2","50","22","0","0","0","No"
"02301","Bethlehem Volunteer Fire Department","1128 Bethlehem RD","","Kings Mountain","NC","28086","1128 Bethlehem RD","","","Kings Mountain","NC","28086-8280","704-739-6206","704-739-9199","Cleveland","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","1","25","1","2","No"
"03102","Beulaville Volunteer Fire Department","205 N Wilson AVE","","Beulaville","NC","28518","","","PO Box 738","Beulaville","NC","28518-0738","910-298-5151","","Duplin","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","41","0","0","0","Yes"
"05805","Big Pine Volunteer Fire Department, Inc.","7909 Big Pine RD","","Marshall","NC","28753","7909 Big Pine RD","","","Marshall","NC","28753-6554","828-649-0449","","Madison","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","20","0","0","0","Yes"
"08114","Bill's Creek Volunteer Fire Department","1184 Bills Creek RD","","Lake Lure","NC","28746","1184 Bills Creek RD","","","Lake Lure","NC","28746-9319","828-532-0100","","Rutherford","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","2","0","36","0","0","0","No"
"06203","Biscoe Fire Department","110 W Main ST","","Biscoe","NC","27209","110 W Main ST","","","Biscoe","NC","27209-9526","910-428-4541","910-428-9847","Montgomery","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","1","26","0","0","0",""
"09801","Black Creek Volunteer Fire Department","114 Church ST","","Black Creek","NC","27813","","","PO Box 327","Black Creek","NC","27813-0327","252-234-1525","252-243-5983","Wilson","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","0","27","0","0","No"
"07435","Black Jack Volunteer Fire Department","3020 Black Jack Simpson RD","","Greenville","NC","27858","3020 Black Jack Simpson RD","","","Greenville","NC","27858-9127","252-752-5792","","Pitt","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","32","0","0","0",""
"01105","Black Mountain Fire Department","106 Montreat RD","","Black Mountain","NC","28711","106 Montreat RD","","","Black Mountain","NC","28711-3116","828-419-9320","828-669-8673","Buncombe","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.townofblackmountain.org/2447/Fire-Department","3","23","40","0","0","10","No"
"05106","Blackman's Crossroads Volunteer Fire Department","5813 NC HWY 96 S","","Four Oaks","NC","27524","5813 NC HWY 96 S","","","Four Oaks","NC","27524","919-207-0438","","Johnston","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","25","0","0","0",""
